symbol,ensembl_id
A2,ENSG00000160226
A20,ENSG00000118503
A211C6.1,ENSG00000102897
A214N16.3,ENSG00000106772
A26A1,ENSG00000188877
A26B1,ENSG00000233917
A26B2,ENSG00000183206
A26B3,ENSG00000166351
A26C1,ENSG00000188219
A26C1A,ENSG00000188219
A26C1B,ENSG00000196604
A26C2,ENSG00000187537
A26C3,ENSG00000198062
A28-RGS14,ENSG00000143333
A2AP,ENSG00000167711
A2BP1,ENSG00000078328
A2D,ENSG00000168488
A2HS,ENSG00000145192
A2LD1,ENSG00000134864
A2LP,ENSG00000168488
A2M,ENSG00000175899
A2ML1,ENSG00000166535
A2MR,ENSG00000123384
A2MRAP,ENSG00000163956
A2V,ENSG00000185344
A3,ENSG00000110719
A33,ENSG00000143167
A34.5,ENSG00000117877
A3A,ENSG00000173402
A3AR,ENSG00000282608
A3B,ENSG00000163069
A3GALNT,ENSG00000148288
A3GALT1,ENSG00000175164
A3GALT2,ENSG00000184389
A3GALT2P,ENSG00000184389
A4,ENSG00000102683
A4-LSB,ENSG00000102007
A43,ENSG00000105849
A4GALT,ENSG00000128274
A4GNT,ENSG00000118017
A6,ENSG00000151239
A6L,ENSG00000228253
A6R,ENSG00000247596
A6RP,ENSG00000247596
A8-51,ENSG00000166526
AA,ENSG00000187079
AAAS,ENSG00000094914
AAAT,ENSG00000105281
AAC-11,ENSG00000166181
AAC1,ENSG00000151729
AAC11,ENSG00000166181
AAC2,ENSG00000156006
AACS,ENSG00000081760
AACT,ENSG00000196136
AADAC,ENSG00000114771
AADACL1,ENSG00000144959
AADACL2,ENSG00000197953
AADACL3,ENSG00000188984
AADACL4,ENSG00000204518
AADAT,ENSG00000109576
AADC,ENSG00000132437
AAED1,ENSG00000158122
AAF132,ENSG00000178971
AAG3,ENSG00000115875
AAGAB,ENSG00000103591
AAIR8193,ENSG00000155008
AAK1,ENSG00000115977
AAKG,ENSG00000106617
AAKG2,ENSG00000106617
AAMDC,ENSG00000087884
AAMP,ENSG00000127837
AANAT,ENSG00000129673
AAP,ENSG00000167711
AAP1,ENSG00000163602
AAR2,ENSG00000131043
AARD,ENSG00000205002
AARS,ENSG00000090861
AARS1,ENSG00000090861
AARS2,ENSG00000124608
AARSD1,ENSG00000266967
AARSL,ENSG00000124608
AASD-PPT,ENSG00000149313
AASDH,ENSG00000157426
AASDHPPT,ENSG00000149313
AASS,ENSG00000008311
AAT,ENSG00000197249
AAT-1,ENSG00000183833
AAT1,ENSG00000183833
AAT1ALPHA,ENSG00000183833
AATF,ENSG00000275700
AATK,ENSG00000181409
AATK-AS1,ENSG00000225180
AATYK,ENSG00000181409
AATYK1,ENSG00000181409
AATYK2,ENSG00000164715
AATYK3,ENSG00000142235
AAVR,ENSG00000142687
AAVS1,ENSG00000125503
AB-DIP,ENSG00000198218
AB073614,ENSG00000047457
ABAD,ENSG00000072506
ABAT,ENSG00000183044
ABBA,ENSG00000132613
ABBA-1,ENSG00000132613
ABBP1,ENSG00000197451
ABC-C,ENSG00000167972
ABC1,ENSG00000068097
ABC16,ENSG00000073734
ABC2,ENSG00000107331
ABC20,ENSG00000085563
ABC28,ENSG00000033050
ABC3,ENSG00000167972
ABC35,ENSG00000001626
ABC36,ENSG00000006071
ABC50,ENSG00000204574
ABC7,ENSG00000131269
ABC8,ENSG00000160179
ABCA1,ENSG00000165029
ABCA10,ENSG00000154263
ABCA12,ENSG00000144452
ABCA13,ENSG00000179869
ABCA2,ENSG00000107331
ABCA3,ENSG00000167972
ABCA4,ENSG00000198691
ABCA5,ENSG00000154265
ABCA6,ENSG00000154262
ABCA7,ENSG00000064687
ABCA8,ENSG00000141338
ABCA9,ENSG00000154258
ABCB1,ENSG00000085563
ABCB10,ENSG00000135776
ABCB11,ENSG00000073734
ABCB2,ENSG00000168394
ABCB3,ENSG00000204267
ABCB4,ENSG00000005471
ABCB5,ENSG00000004846
ABCB5ALPHA,ENSG00000004846
ABCB5BETA,ENSG00000004846
ABCB6,ENSG00000115657
ABCB7,ENSG00000131269
ABCB8,ENSG00000197150
ABCB9,ENSG00000150967
ABCC1,ENSG00000103222
ABCC10,ENSG00000124574
ABCC11,ENSG00000121270
ABCC12,ENSG00000140798
ABCC2,ENSG00000023839
ABCC3,ENSG00000108846
ABCC4,ENSG00000125257
ABCC5,ENSG00000114770
ABCC6,ENSG00000091262
ABCC7,ENSG00000001626
ABCC8,ENSG00000006071
ABCC9,ENSG00000069431
ABCD-1,ENSG00000102962
ABCD-2,ENSG00000102970
ABCD-3,ENSG00000006210
ABCD1,ENSG00000101986
ABCD2,ENSG00000173208
ABCD3,ENSG00000117528
ABCD4,ENSG00000119688
ABCE1,ENSG00000164163
ABCF1,ENSG00000204574
ABCF2,ENSG00000033050
ABCF2-H2BE1,ENSG00000285292
ABCF2-H2BK1,ENSG00000285292
ABCF3,ENSG00000161204
ABCG1,ENSG00000160179
ABCG2,ENSG00000118777
ABCG4,ENSG00000172350
ABCG5,ENSG00000138075
ABCG8,ENSG00000143921
ABCP,ENSG00000118777
ABCR,ENSG00000198691
ABCX,ENSG00000064687
ABDH19,ENSG00000214517
ABF-1,ENSG00000178860
ABH,ENSG00000100601
ABH2,ENSG00000189046
ABHD1,ENSG00000143994
ABHD10,ENSG00000144827
ABHD11,ENSG00000106077
ABHD12,ENSG00000100997
ABHD12A,ENSG00000100997
ABHD12B,ENSG00000131969
ABHD13,ENSG00000139826
ABHD14A,ENSG00000248487
ABHD14A-ACY1,ENSG00000114786
ABHD14B,ENSG00000114779
ABHD15,ENSG00000168792
ABHD16A,ENSG00000204427
ABHD16B,ENSG00000183260
ABHD17A,ENSG00000129968
ABHD17B,ENSG00000107362
ABHD17C,ENSG00000136379
ABHD18,ENSG00000164074
ABHD2,ENSG00000140526
ABHD20,ENSG00000120915
ABHD21,ENSG00000090487
ABHD3,ENSG00000158201
ABHD4,ENSG00000100439
ABHD5,ENSG00000011198
ABHD6,ENSG00000163686
ABHD7,ENSG00000172031
ABHD8,ENSG00000127220
ABHD9,ENSG00000105131
ABI-1,ENSG00000136754
ABI-2,ENSG00000138443
ABI1,ENSG00000136754
ABI2,ENSG00000138443
ABI2B,ENSG00000138443
ABI3,ENSG00000108798
ABI3BP,ENSG00000154175
ABIN-1,ENSG00000145901
ABIN-2,ENSG00000168884
ABIN-3,ENSG00000050730
ABIN2,ENSG00000168884
ABITRAM,ENSG00000119328
ABL1,ENSG00000097007
ABL2,ENSG00000143322
ABLBP3,ENSG00000138443
ABLIM,ENSG00000099204
ABLIM1,ENSG00000099204
ABLIM2,ENSG00000163995
ABLIM3,ENSG00000173210
ABLL,ENSG00000143322
ABO,ENSG00000175164
ABP,ENSG00000129214
ABP-278,ENSG00000136068
ABP-280,ENSG00000128591
ABP1,ENSG00000136279
ABP125,ENSG00000138674
ABP130,ENSG00000138674
ABP620,ENSG00000127603
ABPL,ENSG00000128591
ABR,ENSG00000159842
ABRA,ENSG00000174429
ABRA1,ENSG00000163322
ABRACL,ENSG00000146386
ABRAXAS,ENSG00000163322
ABRAXAS1,ENSG00000163322
ABRAXAS2,ENSG00000165660
ABRO1,ENSG00000165660
ABS,ENSG00000183258
ABT1,ENSG00000146109
ABTB1,ENSG00000114626
ABTB2,ENSG00000166016
ABTB2A,ENSG00000166016
ABTB2B,ENSG00000151136
ABTB3,ENSG00000151136
AC,ENSG00000104763
AC004542.C22.1,ENSG00000133422
AC004997.C22.2,ENSG00000099992
AC008560.1,ENSG00000253251
AC022389.4,ENSG00000204033
AC023283.3,ENSG00000188316
AC073585.2,ENSG00000213185
AC073585.4,ENSG00000203795
AC084727.4,ENSG00000172538
AC133,ENSG00000007062
AC19,ENSG00000186184
AC2,ENSG00000078295
AC3,ENSG00000138031
AC3-33,ENSG00000174928
AC4,ENSG00000129467
AC40,ENSG00000171453
AC45,ENSG00000071553
AC5,ENSG00000173175
AC6,ENSG00000174233
AC7,ENSG00000121281
AC8,ENSG00000155897
AC9,ENSG00000162104
ACAA1,ENSG00000060971
ACAA2,ENSG00000167315
ACAC,ENSG00000278540
ACAC1,ENSG00000278540
ACACA,ENSG00000278540
ACACALPHA,ENSG00000278540
ACACB,ENSG00000076555
ACACBETA,ENSG00000076555
ACAD1,ENSG00000117054
ACAD10,ENSG00000111271
ACAD11,ENSG00000240303
ACAD2,ENSG00000128928
ACAD3,ENSG00000122971
ACAD4,ENSG00000115361
ACAD5,ENSG00000105607
ACAD6,ENSG00000072778
ACAD7,ENSG00000196177
ACAD8,ENSG00000151498
ACAD9,ENSG00000177646
ACADL,ENSG00000115361
ACADM,ENSG00000117054
ACADS,ENSG00000122971
ACADSB,ENSG00000196177
ACADVL,ENSG00000072778
ACAM,ENSG00000166250
ACAN,ENSG00000157766
ACAP1,ENSG00000072818
ACAP2,ENSG00000114331
ACAP3,ENSG00000131584
ACAS2,ENSG00000131069
ACAS2L,ENSG00000154930
ACAT,ENSG00000057252
ACAT1,ENSG00000057252
ACAT2,ENSG00000120437
ACATE2,ENSG00000123130
ACATN,ENSG00000169359
ACBD1,ENSG00000155368
ACBD2,ENSG00000198721
ACBD3,ENSG00000182827
ACBD4,ENSG00000181513
ACBD5,ENSG00000107897
ACBD6,ENSG00000230124
ACBD7,ENSG00000176244
ACBP,ENSG00000155368
ACC,ENSG00000278540
ACC-1,ENSG00000140379
ACC-2,ENSG00000140379
ACC-4,ENSG00000103811
ACC-5,ENSG00000103811
ACC-6,ENSG00000221887
ACC-ALPHA,ENSG00000278540
ACC-BETA,ENSG00000076555
ACC1,ENSG00000140379
ACC2,ENSG00000140379
ACC4,ENSG00000103811
ACC5,ENSG00000103811
ACC6,ENSG00000221887
ACCA,ENSG00000181773
ACCALPHA,ENSG00000278540
ACCB,ENSG00000076555
ACCBETA,ENSG00000076555
ACCN,ENSG00000108684
ACCN1,ENSG00000108684
ACCN2,ENSG00000110881
ACCN3,ENSG00000213199
ACCN4,ENSG00000072182
ACCN5,ENSG00000256394
ACCPN,ENSG00000140199
ACCS,ENSG00000110455
ACCSL,ENSG00000205126
ACD,ENSG00000102977
ACDASE,ENSG00000104763
ACDC,ENSG00000181092
ACDCR1,ENSG00000159346
ACDCR2,ENSG00000006831
ACDP1,ENSG00000119946
ACDP2,ENSG00000148842
ACDP3,ENSG00000168763
ACDP4,ENSG00000158158
ACE,ENSG00000159640
ACE1,ENSG00000159640
ACE2,ENSG00000130234
ACECS,ENSG00000131069
ACECS2L,ENSG00000154930
ACEH,ENSG00000130234
ACER1,ENSG00000167769
ACER2,ENSG00000177076
ACER3,ENSG00000078124
ACF,ENSG00000148584
ACF1,ENSG00000198604
ACF64,ENSG00000148584
ACF65,ENSG00000148584
ACF7,ENSG00000127603
ACG,ENSG00000147251
ACGNAT,ENSG00000149124
ACH,ENSG00000068078
ACH1,ENSG00000097021
ACH2,ENSG00000184227
ACHAP,ENSG00000112514
ACHE,ENSG00000087085
ACHERON,ENSG00000166173
ACHM1,ENSG00000170289
ACHM2,ENSG00000144191
ACHM3,ENSG00000170289
ACHM4,ENSG00000134183
ACHM5,ENSG00000095464
ACHP,ENSG00000105983
ACHRD,ENSG00000135902
ACHRE,ENSG00000108556
ACHRG,ENSG00000196811
ACID1,ENSG00000104973
ACIN1,ENSG00000100813
ACINUS,ENSG00000100813
ACK,ENSG00000061938
ACK1,ENSG00000061938
ACKR1,ENSG00000213088
ACKR2,ENSG00000144648
ACKR3,ENSG00000144476
ACKR4,ENSG00000129048
ACKR5,ENSG00000121797
ACKR6,ENSG00000091622
ACL,ENSG00000131473
ACLP,ENSG00000106624
ACLS,ENSG00000106571
ACLY,ENSG00000131473
ACMSD,ENSG00000153086
ACN,ENSG00000186575
ACN9,ENSG00000196636
ACO,ENSG00000174562
ACO1,ENSG00000122729
ACO2,ENSG00000100412
ACOD1,ENSG00000102794
ACOD4,ENSG00000145284
ACONM,ENSG00000100412
ACOT1,ENSG00000184227
ACOT11,ENSG00000162390
ACOT12,ENSG00000172497
ACOT13,ENSG00000112304
ACOT2,ENSG00000119673
ACOT4,ENSG00000177465
ACOT6,ENSG00000205669
ACOT7,ENSG00000097021
ACOT8,ENSG00000101473
ACOT9,ENSG00000123130
ACOX1,ENSG00000161533
ACOX2,ENSG00000168306
ACOX3,ENSG00000087008
ACOX4,ENSG00000153093
ACOXL,ENSG00000153093
ACP,ENSG00000004779
ACP-3,ENSG00000014257
ACP1,ENSG00000004779
ACP2,ENSG00000134575
ACP3,ENSG00000014257
ACP33,ENSG00000090487
ACP4,ENSG00000142513
ACP5,ENSG00000102575
ACP6,ENSG00000162836
ACP7,ENSG00000183760
ACPA,ENSG00000196415
ACPIN1,ENSG00000178397
ACPL,ENSG00000115607
ACPL1,ENSG00000162836
ACPL2,ENSG00000155893
ACPP,ENSG00000014257
ACPS,ENSG00000149313
ACPT,ENSG00000142513
ACR,ENSG00000100312
ACR1,ENSG00000126432
ACRBP,ENSG00000111644
ACRC,ENSG00000147174
ACRG,ENSG00000188243
ACRP,ENSG00000091640
ACRP30,ENSG00000181092
ACRV1,ENSG00000134940
ACS,ENSG00000131069
ACS1,ENSG00000151726
ACS2,ENSG00000164398
ACS3,ENSG00000122691
ACS4,ENSG00000068366
ACS5,ENSG00000197142
ACSA,ENSG00000131069
ACSB,ENSG00000083807
ACSBG1,ENSG00000103740
ACSBG2,ENSG00000130377
ACSF1,ENSG00000081760
ACSF2,ENSG00000167107
ACSF3,ENSG00000176715
ACSF4,ENSG00000157426
ACSL1,ENSG00000151726
ACSL3,ENSG00000123983
ACSL4,ENSG00000068366
ACSL5,ENSG00000197142
ACSL6,ENSG00000164398
ACSM1,ENSG00000166743
ACSM2,ENSG00000066813
ACSM2A,ENSG00000183747
ACSM2B,ENSG00000066813
ACSM3,ENSG00000005187
ACSM4,ENSG00000215009
ACSM5,ENSG00000183549
ACSM6,ENSG00000173124
ACSMW,ENSG00000167107
ACSS1,ENSG00000154930
ACSS2,ENSG00000131069
ACSS3,ENSG00000111058
ACSVL1,ENSG00000140284
ACSVL2,ENSG00000113396
ACSVL3,ENSG00000143554
ACSVL4,ENSG00000167114
ACSVL5,ENSG00000130304
ACSVL6,ENSG00000083807
ACT,ENSG00000196136
ACT-2,ENSG00000275302
ACT1,ENSG00000056972
ACT35,ENSG00000186827
ACTA,ENSG00000143632
ACTA1,ENSG00000143632
ACTA2,ENSG00000107796
ACTA3,ENSG00000163017
ACTB,ENSG00000075624
ACTBL1,ENSG00000198062
ACTBL2,ENSG00000169067
ACTC,ENSG00000159251
ACTC1,ENSG00000159251
ACTDP,ENSG00000125868
ACTG,ENSG00000184009
ACTG1,ENSG00000184009
ACTG2,ENSG00000163017
ACTH,ENSG00000115138
ACTHR,ENSG00000185231
ACTIVIN,ENSG00000139269
ACTL10,ENSG00000288649
ACTL3,ENSG00000163017
ACTL6,ENSG00000077080
ACTL6A,ENSG00000136518
ACTL6B,ENSG00000077080
ACTL7A,ENSG00000187003
ACTL7B,ENSG00000148156
ACTL8,ENSG00000117148
ACTL9,ENSG00000181786
ACTN1,ENSG00000072110
ACTN2,ENSG00000077522
ACTN3,ENSG00000248746
ACTN4,ENSG00000130402
ACTR,ENSG00000124151
ACTR-IIB,ENSG00000114739
ACTR10,ENSG00000131966
ACTR11,ENSG00000131966
ACTR1A,ENSG00000138107
ACTR1B,ENSG00000115073
ACTR2,ENSG00000138071
ACTR3,ENSG00000115091
ACTR3B,ENSG00000133627
ACTR3C,ENSG00000106526
ACTR5,ENSG00000101442
ACTR6,ENSG00000075089
ACTR8,ENSG00000113812
ACTRIB,ENSG00000135503
ACTRII,ENSG00000121989
ACTRT1,ENSG00000123165
ACTRT2,ENSG00000169717
ACTRT3,ENSG00000184378
ACTSA,ENSG00000107796
ACTSG,ENSG00000163017
ACV,ENSG00000150995
ACVR1,ENSG00000115170
ACVR1A,ENSG00000115170
ACVR1B,ENSG00000135503
ACVR1C,ENSG00000123612
ACVR2,ENSG00000121989
ACVR2A,ENSG00000121989
ACVR2B,ENSG00000114739
ACVRIP1,ENSG00000187391
ACVRL1,ENSG00000139567
ACVRLK1,ENSG00000139567
ACVRLK2,ENSG00000115170
ACVRLK3,ENSG00000107779
ACVRLK4,ENSG00000106799
ACVRLK7,ENSG00000123612
ACY-3,ENSG00000132744
ACY1,ENSG00000243989
ACY1L,ENSG00000150636
ACY1L2,ENSG00000146281
ACY2,ENSG00000108381
ACY3,ENSG00000132744
ACYP1,ENSG00000119640
ACYP2,ENSG00000170634
ACZ,ENSG00000186472
AD-003,ENSG00000148335
AD-004,ENSG00000273841
AD-005,ENSG00000125107
AD-015,ENSG00000131871
AD-017,ENSG00000016864
AD-020,ENSG00000215717
AD-FSP,ENSG00000198513
AD002,ENSG00000150316
AD023,ENSG00000125457
AD024,ENSG00000152253
AD025,ENSG00000107020
AD026,ENSG00000121933
AD029,ENSG00000133114
AD031,ENSG00000165895
AD034,ENSG00000124784
AD035,ENSG00000070610
AD037,ENSG00000107551
AD1,ENSG00000135404
AD158,ENSG00000171488
AD2,ENSG00000130203
AD24,ENSG00000173145
AD3,ENSG00000204634
AD3L,ENSG00000143801
AD4,ENSG00000143801
AD4BP,ENSG00000136931
ADA,ENSG00000196839
ADA1,ENSG00000152382
ADA2,ENSG00000093072
ADA2A,ENSG00000276234
ADA3,ENSG00000171148
ADAD1,ENSG00000164113
ADAD2,ENSG00000140955
ADAL,ENSG00000168803
ADAM-TS10,ENSG00000142303
ADAM-TS2,ENSG00000087116
ADAM-TS6,ENSG00000049192
ADAM-TS7,ENSG00000136378
ADAM-TS8,ENSG00000134917
ADAM10,ENSG00000137845
ADAM11,ENSG00000073670
ADAM12,ENSG00000148848
ADAM15,ENSG00000143537
ADAM17,ENSG00000151694
ADAM18,ENSG00000168619
ADAM19,ENSG00000135074
ADAM2,ENSG00000104755
ADAM20,ENSG00000134007
ADAM21,ENSG00000139985
ADAM22,ENSG00000008277
ADAM23,ENSG00000042980
ADAM27,ENSG00000168619
ADAM28,ENSG00000042980
ADAM29,ENSG00000168594
ADAM30,ENSG00000134249
ADAM31,ENSG00000139985
ADAM32,ENSG00000197140
ADAM33,ENSG00000149451
ADAM7,ENSG00000069206
ADAM8,ENSG00000151651
ADAM9,ENSG00000168615
ADAMDEC1,ENSG00000134028
ADAMTS-2,ENSG00000158859
ADAMTS-3,ENSG00000087116
ADAMTS-4,ENSG00000156140
ADAMTS1,ENSG00000154734
ADAMTS10,ENSG00000142303
ADAMTS11,ENSG00000154736
ADAMTS12,ENSG00000151388
ADAMTS13,ENSG00000160323
ADAMTS14,ENSG00000138316
ADAMTS15,ENSG00000166106
ADAMTS16,ENSG00000145536
ADAMTS16S,ENSG00000145536
ADAMTS17,ENSG00000140470
ADAMTS18,ENSG00000140873
ADAMTS19,ENSG00000145808
ADAMTS2,ENSG00000087116
ADAMTS20,ENSG00000173157
ADAMTS21,ENSG00000140873
ADAMTS3,ENSG00000156140
ADAMTS4,ENSG00000158859
ADAMTS5,ENSG00000154736
ADAMTS6,ENSG00000049192
ADAMTS7,ENSG00000136378
ADAMTS8,ENSG00000134917
ADAMTS9,ENSG00000163638
ADAMTSL1,ENSG00000178031
ADAMTSL2,ENSG00000197859
ADAMTSL3,ENSG00000156218
ADAMTSL4,ENSG00000143382
ADAMTSL5,ENSG00000185761
ADAMTSL6,ENSG00000187720
ADAMTSR1,ENSG00000178031
ADANE,ENSG00000153201
ADAP,ENSG00000082074
ADAP-S,ENSG00000018510
ADAP1,ENSG00000105963
ADAP2,ENSG00000184060
ADAP6,ENSG00000151320
ADAR,ENSG00000160710
ADAR1,ENSG00000160710
ADAR2,ENSG00000197381
ADAR2A,ENSG00000197381
ADAR2A-L1,ENSG00000197381
ADAR2A-L2,ENSG00000197381
ADAR2A-L3,ENSG00000197381
ADAR2B,ENSG00000197381
ADAR2C,ENSG00000197381
ADAR2D,ENSG00000197381
ADAR2G,ENSG00000197381
ADAR3,ENSG00000185736
ADARB1,ENSG00000197381
ADARB2,ENSG00000185736
ADAS,ENSG00000018510
ADAT1,ENSG00000065457
ADAT2,ENSG00000189007
ADAT3,ENSG00000213638
ADB2,ENSG00000156886
ADC,ENSG00000142920
ADCA,ENSG00000101327
ADCAD2,ENSG00000070018
ADCAII,ENSG00000163635
ADCK1,ENSG00000063761
ADCK2,ENSG00000133597
ADCK3,ENSG00000163050
ADCK4,ENSG00000123815
ADCK5,ENSG00000173137
ADCP2,ENSG00000197635
ADCY1,ENSG00000164742
ADCY10,ENSG00000143199
ADCY2,ENSG00000078295
ADCY3,ENSG00000138031
ADCY4,ENSG00000129467
ADCY5,ENSG00000173175
ADCY6,ENSG00000174233
ADCY7,ENSG00000121281
ADCY8,ENSG00000155897
ADCY9,ENSG00000162104
ADCYAP1,ENSG00000141433
ADCYAP1R1,ENSG00000078549
ADD1,ENSG00000087274
ADD2,ENSG00000075340
ADD3,ENSG00000148700
ADDB,ENSG00000075340
ADDL,ENSG00000148700
ADE2H1,ENSG00000128050
ADF,ENSG00000125868
ADFP,ENSG00000147872
ADG-90,ENSG00000145990
ADGB,ENSG00000118492
ADGF,ENSG00000093072
ADGRA1,ENSG00000197177
ADGRA2,ENSG00000020181
ADGRA3,ENSG00000152990
ADGRB1,ENSG00000181790
ADGRB2,ENSG00000121753
ADGRB3,ENSG00000135298
ADGRC1,ENSG00000075275
ADGRC2,ENSG00000143126
ADGRC3,ENSG00000008300
ADGRD1,ENSG00000111452
